Planning Area,Name,Star Rating,Reviews,Category,Price Label,Metadata
Ang Mo Kio,Ichiban Sushi (Ang Mo Kio),3.9,(890),Japanese restaurant,Price: Moderate,"['53 Ang Mo Kio Ave 3, #02-01, Singapore 569933', 'Floor 2 · AMK Hub', 'Place an order', 'ichibansushi.com.sg', '6555 1617', '9R9X+PM Singapore', 'Send to your phone']"
Ang Mo Kio,Takagi Ramen @ Ang Mo Kio,4.6,"(4,576)",Ramen restaurant,Price: Inexpensive,"['51 Ang Mo Kio Ave 3, #01-01C, Singapore 569922', 'Floor 1 · 51@AMK', 'Place an order', 'Menu', 'takagiramen.com', '9170 7870', '9R9W+PR Singapore', 'Send to your phone']"
Ang Mo Kio,umisushi AMK Hub,3.5,(67),Japanese restaurant,TimeoutException,"['53 Ang Mo Kio Ave 3, #B2 - 37 AMK Hub, Singapore 569933', 'Floor B2 · AMK Hub', 'Place an order', 'umisushi.com.sg', '6752 8862', '9R9X+MF Singapore', 'Send to your phone']"
Ang Mo Kio,Sushi-GO (AMK Hub),3.6,(341),Sushi restaurant,TimeoutException,"['53 Ang Mo Kio Avenue 3, #04-02, AMK Hub, 569933', 'Floor 1 · AMK Hub', 'Place an order', 'Menu', 'res.com.sg', '6235 8783', '9R9X+QP Singapore', 'Send to your phone']"
Ang Mo Kio,Donburi no Tatsujin,3.1,(67),Japanese restaurant,TimeoutException,"['721 Ang Mo Kio Ave 8, #8, Singapore 560721', 'Floor 1 · Food Loft (Ang Mo Kio Avenue 8)', 'Place an order', 'donburi-no-tatsujin.sg', '9RFX+35 Singapore', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,Korean & Japanese Cuisine 日本料理,3.5,(11),Restaurant,TimeoutException,"['Blk 107 Ang Mo Kio Ave 4, #01-138, Singapore 560107', 'Floors 1 and 2 · Block 107 HDB Ang Mo Kio', 'Place an order', '9069 1023', '9RCP+HR Singapore', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,Sumo Japanese Food,4.5,(4),Japanese restaurant,TimeoutException,"['180 Ang Mo Kio Ave 8, stall 12, Singapore 569830', 'Floor 2 · Nanyang Polytechnic', '9RHX+VJ Singapore', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,Ajisen Ramen (AMK Hub),4.0,(280),Ramen restaurant,Price: Moderate,"['53 Ang Mo Kio Ave 3, AMK Hub, #02 - 19/20/21, Singapore 569933', 'Place an order', 'ajisen.com.sg', '6481 8861', 'Send to your phone']"
Ang Mo Kio,TORI-Q @ AMK,4.0,(86),Yakitori restaurant,Price: Inexpensive,"['53 Ang Mo Kio Ave 3, #B2 - 09, Singapore 569933', 'tori-q.com', '6481 2536', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,Kazutake Ramen,4.2,(253),Japanese restaurant,TimeoutException,"['530 Ang Mo Kio Ave 10, #01-2381, Singapore 560530', 'Place an order', '6322 3456', '9VF4+44 Singapore', 'Send to your phone']"
Ang Mo Kio,Maki-San (AMK Hub),3.5,(30),Sushi restaurant,Price: Moderate,"['53 Ang Mo Kio Ave 3, #B2-58 Hub, Singapore 569933', 'Place an order', 'makisan.com', 'Send to your phone']"
Ang Mo Kio,Yakiniku Like (AMK Hub),4.5,(267),Yakiniku restaurant,TimeoutException,"['53 Ang Mo Kio Ave 3 AMK Hub, B1, #21, 569933', 'Floor B1 · AMK Hub', 'Open ⋅ Closes 10\u202fpm', 'Place an order', 'Menu', 'facebook.com', '9R9X+R9 Singapore', 'Send to your phone']"
Ang Mo Kio,Edo Sushi Pte. Ltd.,NoSuchElementException,NoSuchElementException,Restaurant,TimeoutException,"['711 Ang Mo Kio Ave 8, Singapore 560711', '6459 9612', '9RCX+H5 Singapore', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,Edo Sushi Pte. Ltd.,NoSuchElementException,NoSuchElementException,Restaurant,TimeoutException,"['711 Ang Mo Kio Ave 8, Singapore 560711', '6459 9612', '9RCX+H5 Singapore', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,Kei Kaisendon AMK HUB,3.9,(74),Restaurant,Price: Moderate,"['53 Ang Mo Kio Ave 3, B1-17 Hub, Singapore 569933', 'Place an order', 'keikaisendon.com', '6235 8985', 'Send to your phone']"
Ang Mo Kio,Tamako Meal,4.3,(552),Japanese restaurant,Price: Moderate,"['128 Casuarina Rd, Singapore 579516', 'Place an order', 'tamako-meal.com', '6553 4128', 'Send to your phone', 'LGBTQ+ friendly']"
Ang Mo Kio,Bento Food House,3.0,(2),Japanese restaurant,TimeoutException,"['340 Ang Mo Kio Ave 1, BLK #01-1679, Singapore 560340', 'Floor 1 · Maxim Stars Coffee Shop', '9R7X+RQ Singapore', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,Konomi Zen,4.0,(41),Hawker Stall,TimeoutException,"['628 Ang Mo Kio Ave 4, Singapore 560628', 'Floor 1 · Ang Mo Kio 628 Market', 'eatbook.sg', '6901 1873', '9RJR+C8 Singapore', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,争鲜GOGO @ AMK Hub,3.9,(10),Sushi takeaway,TimeoutException,"['53 Ang Mo Kio Ave 3, #01-03/03A AMK Hub, Singapore 569933', 'Place an order', 'sushiexpress.com.sg', '9R9X+J7 Singapore', 'Send to your phone']"
Ang Mo Kio,Wow Tako,2.0,(34),Takoyaki restaurant,TimeoutException,"['53 Ang Mo Kio Ave 8, #3, Singapore 569933', 'Floor B2 · AMK Hub', 'shopsinsg.com', '9R9X+MF Singapore', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,SUSHI TEI,4.0,(496),Japanese restaurant,Price: Moderate,"['64/64A Serangoon Garden Way, Singapore 555960', 'Place an order', 'sushitei.com', '6283 7117', 'Send to your phone']"
Ang Mo Kio,ToriYard,4.4,"(2,571)",Authentic Japanese restaurant,Price: Expensive,"['Bishan-Ang Mo Kio Park, 1380 Ang Mo Kio Ave 1, 569930', 'Located in: Bishan-Ang Mo Kio Park', 'Menu', 'toriyard.com', '9296 5988', '9R6W+XV Singapore', 'Send to your phone']"
Ang Mo Kio,I'm Kim Korean BBQ & Shabu Shabu @ AMK Hub,4.4,(869),Korean barbecue restaurant,TimeoutException,"['53 Ang Mo Kio Ave 3, #04-04, Singapore 569933', 'Located in: AMK Hub', 'Find a table', 'Place an order', 'kingdomfood.sg', '6219 3473', '9R9X+V7 Singapore', 'Send to your phone']"
Ang Mo Kio,WANO NIKU Ang Mo Kio,4.1,(82),Hawker Stall,TimeoutException,"['181 Ang Mo Kio Ave 5, Block 181, Singapore 560181', 'Place an order', 'wanoniku.com', '9448 3963', '9RGP+QP Singapore', 'Send to your phone']"
Ang Mo Kio,MENTAI SENS,3.9,(10),Hawker Stall,TimeoutException,"['339 Ang Mo Kio Ave 1, Singapore 560339', 'Place an order', '9R8X+7M Singapore', 'Send to your phone']"
Ang Mo Kio,Takoyaki Stall,4.0,(3),Restaurant,TimeoutException,"['180 Ang Mo Kio Ave 8, Singapore 569830', 'Floor 2 · Nanyang Polytechnic', '9RHX+5P Singapore', 'Send to your phone', 'Claim this business']"
Ang Mo Kio,Japanese Delight,NoSuchElementException,NoSuchElementException,Restaurant,TimeoutException,"['Hub Food Fare #03-, 12 Ang Mo Kio Ave 8', 'Located in: AMK Hub', '9R9X+P2 Singapore', 'Send to your phone', 'Claim this business']"
